district,county,current_per_adm,instruction_per_adm,prof_alg,prof_bio,prof_eng,prof_alg_dis,prof_alg_black,prof_alg_white
Beaver Area SD,Beaver,17193.08,9761.19,51.5,63.2,84.4,28.2,15.6,53.5
Big Beaver Falls Area SD,Beaver,19613.82,12275.86,23.9,24.8,55.8,17.3,NA,31
Blackhawk SD,Beaver,16474.03,10656.6,46.5,61.8,72.4,30.8,NA,48.4
Central Valley SD,Beaver,17191.85,11538.68,56.6,63.4,75.3,42.3,33.3,59.4
Freedom Area SD,Beaver,20521.76,13425.74,37.8,42.1,68,35.7,NA,37.7
Hopewell Area SD,Beaver,19440.26,12972.21,49.6,41.4,63.8,44,NA,52
Midland Borough SD,Beaver,19103.32,12931.24,NA,NA,NA,NA,NA,NA
New Brighton Area SD,Beaver,21062.44,12937,41.3,43.5,53.3,28.8,NA,44.9
Riverside Beaver County SD,Beaver,17134.78,10546.07,46.4,50,68.5,28.9,NA,47.6
Rochester Area SD,Beaver,23926.16,15471.82,41.4,43.1,62.1,25,35.3,44.4
South Side Area SD,Beaver,26785.62,15251.98,55.7,56.2,79.5,35,NA,55.2
Western Beaver County SD,Beaver,21328.01,12953.17,55.6,52.8,55.3,50,NA,57.6
Bedford Area SD,Bedford,17171.44,10706.25,62.9,54.9,62.3,45.1,NA,62.5
Chestnut Ridge SD,Bedford,17654.23,11116.73,65.6,57.7,70.1,55.3,NA,66
Everett Area SD,Bedford,16613.12,10172.66,50.7,53.6,69.6,44.4,NA,50.8
Northern Bedford County SD,Bedford,17732.9,12030.12,57.9,71.4,81,39.3,NA,58.9
Tussey Mountain SD,Bedford,19294.75,12484.21,43,33.3,53.2,40,NA,44.7
Antietam SD,Berks,19172.54,12152.37,29.2,46.2,64.1,14.7,NA,48
Boyertown Area SD,Berks,18150.59,12527.82,45,64.1,65.9,32,27.3,46.8
Brandywine Heights Area SD,Berks,24695.6,15081.67,15.9,54.7,53.3,8.6,NA,16.7
Conrad Weiser Area SD,Berks,22295.91,14880.13,40.8,47.7,56.2,33.7,33.3,42.5
Daniel Boone Area SD,Berks,18955.56,12265.99,41.7,42.8,75.1,32.9,18.8,45.4
Exeter Township SD,Berks,19472.62,12494.71,56.4,52.3,73.2,39.8,45,64.5
Fleetwood Area SD,Berks,21246.22,14204.35,51.7,56.4,73.6,48.2,NA,55.4
Governor Mifflin SD,Berks,17507.43,11372.7,27.2,37.5,54.9,14.1,12.5,35.4
Hamburg Area SD,Berks,20478,13727.44,36.4,33.3,60.4,27.4,NA,38.5
Kutztown Area SD,Berks,24675.34,15283.62,67,73,86.1,51.6,NA,68.6
Muhlenberg SD,Berks,15783.87,9961.58,28.2,21.9,42,23.4,18.5,42.3
Oley Valley SD,Berks,22690.2,13871.74,49.1,62.7,64.4,33.3,NA,49.5
Reading SD,Berks,18834.98,12248.42,11.8,20.5,35.6,11.1,11.1,9.5
Schuylkill Valley SD,Berks,19496.91,12646.86,51.7,52.3,57.3,32,NA,52.3
Tulpehocken Area SD,Berks,24895.43,15815.59,73.8,72.3,66.7,72.1,NA,74.4
Twin Valley SD,Berks,21862.1,14715.82,48,57.9,68.9,29,NA,50
Wilson SD,Berks,17785.03,11832.35,37.4,51.8,70.9,17.5,9.7,49.8
Wyomissing Area SD,Berks,21221.96,13263.34,50,52.6,74,30.6,41.7,61.2
Altoona Area SD,Blair,16092.66,10317.69,49.9,56.6,58.4,38.8,25.7,52.3
Bellwood-Antis SD,Blair,16822.82,10599.77,49.5,47.3,51.5,33.3,NA,48.4
Claysburg-Kimmel SD,Blair,19486.46,10655.12,42.1,50.8,66.1,34.3,NA,42.9
Hollidaysburg Area SD,Blair,15606.61,9926.19,48.1,58.3,72,32.2,NA,50.5
Spring Cove SD,Blair,16396.7,9781.12,34,46.8,63.8,27.1,NA,32.3
Tyrone Area SD,Blair,16668.36,10236.17,45.7,77.9,71.7,36.7,NA,45.7
Williamsburg Community SD,Blair,16837.86,10106.8,43.3,54.8,54.8,35.3,NA,41.4
Athens Area SD,Bradford,20796.9,13719.83,42.1,47.9,47.6,19.3,NA,40.5
Canton Area SD,Bradford,20220.96,12935.85,18.2,41.4,55.9,16.7,NA,19.6
Northeast Bradford SD,Bradford,21879.84,13921.56,52.5,61.9,70.3,36.4,NA,52.5
Sayre Area SD,Bradford,25097.62,16487.73,30.9,52.2,40.8,27.6,NA,31.7
Towanda Area SD,Bradford,18682.64,12028.71,51,44.6,65.7,43.9,NA,51.1
Troy Area SD,Bradford,18034.23,11746.42,39.6,48.7,49.6,34.8,NA,40.4
Wyalusing Area SD,Bradford,19101.94,11684.02,38.2,52.8,61.8,25,NA,36.6
Bensalem Township SD,Bucks,20992.11,14683.76,33.6,46.1,54.5,27.7,14.6,30.7
Bristol Borough SD,Bucks,22372.65,17053.64,28.4,27,47.9,25.5,15.4,42.3
Bristol Township SD,Bucks,20941.32,14988.68,14.2,25.5,36.5,12,11.9,21.2
Centennial SD,Bucks,24449.71,16456.46,33.3,42.4,50.6,22.5,0,40.3
Central Bucks SD,Bucks,20703,13547.19,62.3,76.9,81.5,44.8,41.2,62.4
Council Rock SD,Bucks,23333.76,15725.6,76.7,76.3,78.2,67.9,57.1,77.1
Morrisville Borough SD,Bucks,26494.48,19199.65,6.7,18.6,45.7,5.3,7.7,5.9
Neshaminy SD,Bucks,19268.75,13062.51,30.2,58.1,65.5,25,18.2,30
New Hope-Solebury SD,Bucks,34587.05,20238.53,70.3,93.3,89.9,38.5,NA,72.3
Palisades SD,Bucks,31388.08,19661.52,41.7,57.1,54.8,27.6,NA,43.2
Pennridge SD,Bucks,19945.6,15036.64,34.3,61.7,76,23.1,33.3,36.3
Pennsbury SD,Bucks,22411.17,15332.73,49.9,62.3,74.4,35.4,23.8,52.2
Quakertown Community SD,Bucks,22431.22,15101.56,35,59.6,65.1,19.3,16.7,39.3
Butler Area SD,Butler,16987.34,11252.78,39.2,47.3,57.2,26.9,NA,42
Karns City Area SD,Butler,16709.17,9696.43,37.9,39.6,50,30.3,NA,36.5
Knoch SD,Butler,17142.86,10430.5,24.8,56.7,63.5,2.4,NA,25
Mars Area SD,Butler,13891.59,8760.27,58.8,70.8,76.4,18.8,NA,59.9
Moniteau SD,Butler,19051.04,10669.24,37.7,47,74.6,20,NA,37.3
Seneca Valley SD,Butler,19515.49,13502.69,40.6,64.8,65.2,37.5,NA,42.5
Slippery Rock Area SD,Butler,18298.06,12502.38,57.6,60.6,80.3,42,NA,57.8
Blacklick Valley SD,Cambria,19186.19,11818.35,49,36.7,43.5,42.1,NA,49
Cambria Heights SD,Cambria,19040.45,11645.05,57,60.9,81,50,NA,58.6
Central Cambria SD,Cambria,17245.76,10429.88,38.7,53.1,58.5,30.2,NA,39.8
Conemaugh Valley SD,Cambria,21802.81,13657.06,46,58,58,40.7,NA,51.2
Ferndale Area SD,Cambria,21495.5,13560.19,40,37.3,57.7,26.9,NA,42.2
Forest Hills SD,Cambria,16129.81,9889.89,29.4,54.2,44.6,21.5,NA,29.8
Greater Johnstown SD,Cambria,18923.43,12629.93,10.3,12.7,30.5,6.4,0,19
Northern Cambria SD,Cambria,21747.97,13903.97,54,44.8,71.6,50,NA,54.1
Penn Cambria SD,Cambria,16319.03,10173.88,67.6,62.1,79.2,55.9,NA,68.6
Portage Area SD,Cambria,18240.28,10834.48,54.4,54.4,68.4,50,NA,53.6
Richland SD,Cambria,15284.34,9500.3,74.3,61.7,82.1,47.2,NA,76.1
Westmont Hilltop SD,Cambria,15686.09,9963.16,37.6,60.2,67.3,23.3,NA,40
Cameron County SD,Cameron,21894.27,13136.23,51.4,52.9,70.6,57.1,NA,53.1
Jim Thorpe Area SD,Carbon,22572.6,16315.83,48.2,47.4,68.7,39.6,NA,52.9
Lehighton Area SD,Carbon,19044.26,13025.04,51.4,68.8,61.3,42.6,NA,51.6
Palmerton Area SD,Carbon,19968.43,14222.01,47.5,54.2,67.8,22.2,NA,53.5
Panther Valley SD,Carbon,16314.12,11793.6,19.2,32.5,57,16.4,NA,17.2
Weatherly Area SD,Carbon,22779.99,14288.06,33.3,67.6,57.1,31.3,NA,32.1
Bald Eagle Area SD,Centre,21384.24,13184.64,56.8,67.3,70.8,40.5,NA,53.7
Bellefonte Area SD,Centre,19643.84,12551.7,53.6,55.4,50.2,31.3,NA,54.5
Penns Valley Area SD,Centre,19824.06,11619.65,46.9,63.7,82.5,32.6,NA,48.5
State College Area SD,Centre,24225.09,15242.23,76.3,80.2,86.9,51.4,38.5,77.9
Avon Grove SD,Chester,16979.79,11136.55,61.2,65.9,76.8,43.1,NA,68.9
Coatesville Area SD,Chester,23484.27,18045.06,11.9,19.7,48.5,7.6,4.2,17.7
Downingtown Area SD,Chester,18661.16,12422.36,73.3,76.8,83.6,52.6,47.8,73.6
Great Valley SD,Chester,23500.13,16072.87,67.1,79.1,82.6,35.3,NA,65.8
Kennett Consolidated SD,Chester,22571.21,14025.47,34.7,45.1,54.7,18.3,NA,51.1
Octorara Area SD,Chester,25123.08,16630.65,37.3,38.4,50.6,20.5,NA,41.7
Owen J Roberts SD,Chester,20112.28,12712.11,46.1,67.3,76.8,37.1,18.2,47.4
Oxford Area SD,Chester,20748.68,15078.3,29.2,53.7,69.7,19.1,NA,34.7
Phoenixville Area SD,Chester,22239.1,13668.8,37.5,62.3,61.1,22.4,21.4,43.3
Tredyffrin-Easttown SD,Chester,22931.22,14961.77,72.2,77.9,84.6,45.5,25,73.8
Unionville-Chadds Ford SD,Chester,24240.26,15581.26,71.2,86.3,87.9,36,NA,68.6
West Chester Area SD,Chester,20166.17,13418.22,51.2,68,80.5,33.7,27.1,54.3
Allegheny-Clarion Valley SD,Clarion,27701.65,17932.16,34.2,44.7,65.8,15,NA,38.2
Clarion Area SD,Clarion,18226.38,11302.33,53.7,61.8,74.5,18.8,NA,54
Clarion-Limestone Area SD,Clarion,20150.98,13049.32,45.1,60.4,72.2,21.1,NA,47.9
Keystone SD,Clarion,19853.76,12516.12,36.6,45.3,64.4,33.3,NA,37.5
North Clarion County SD,Clarion,17645.51,12040.74,60,52.2,60.9,35.3,NA,60
Redbank Valley SD,Clarion,19282.44,12785.18,50,36.1,56.7,27.3,NA,49.2
Union SD,Clarion,22914.53,14001.27,50,52.8,61.1,40,NA,51.4
Clearfield Area SD,Clearfield,20491.07,12767.48,16,41.4,57.1,15.2,NA,16.8
Curwensville Area SD,Clearfield,19048.85,12607.54,35.5,48.1,62.8,21.9,NA,36
DuBois Area SD,Clearfield,17255.28,11279.55,43.5,44.6,53.8,27.6,NA,44.5
Glendale SD,Clearfield,22152.53,13011.11,53.2,37.8,73.9,31.8,NA,56.8
Harmony Area SD,Clearfield,26798.37,16106.48,NA,72.7,72.7,NA,NA,
Moshannon Valley SD,Clearfield,19953.46,12190.89,43.5,45.6,55.1,35,NA,43.9
Philipsburg-Osceola Area SD,Clearfield,20724.14,12834.71,30.9,55.7,63.9,25.6,NA,31.6
West Branch Area SD,Clearfield,20927.7,13437.36,47.8,49.3,69.6,52.5,NA,49.2
Keystone Central SD,Clinton,21318.64,14082.03,33,44,49.8,18.6,NA,33.6
Benton Area SD,Columbia,22332.27,12831.74,34.3,50,58.3,29.4,NA,34.4
Berwick Area SD,Columbia,17725.84,12157.06,31.2,48.2,63.7,28.2,NA,31.9
Bloomsburg Area SD,Columbia,17516.28,11289.94,36.5,51.8,74.1,32.1,NA,36.9
Central Columbia SD,Columbia,17369.8,11179.91,63,75,77.8,44.4,NA,65.9
Millville Area SD,Columbia,22882.45,14496.78,42.9,34.5,55.2,27.3,NA,42.9
Southern Columbia Area SD,Columbia,17381.55,11043,61.2,33.3,57.1,57.7,NA,62.5
Conneaut SD,Crawford,20106.08,11699.47,43.3,53.4,63.4,44.7,NA,44.1
Crawford Central SD,Crawford,19271.28,12286.99,35.8,60.9,60.7,20.7,NA,39.2
Penncrest SD,Crawford,21574.22,14248.1,41.8,44.8,67.7,25.3,NA,42.5
Big Spring SD,Cumberland,22093.96,15052.85,28.4,47.9,50,21.8,NA,29.1
Camp Hill SD,Cumberland,21635.73,13126.65,51.9,79.6,80.6,26.1,NA,57.1
Carlisle Area SD,Cumberland,18069.73,11786.87,37.6,54.5,67,22.1,13.3,45.6
Cumberland Valley SD,Cumberland,16284.77,9549.67,61.2,74.4,83.3,45.7,38.9,62.4
East Pennsboro Area SD,Cumberland,16208.62,10983.63,46.2,59.5,72.8,33.8,14.3,45.8
Mechanicsburg Area SD,Cumberland,17969.94,11816.1,39.8,59.1,66.1,24.5,23.8,44.7
Shippensburg Area SD,Cumberland,16754.45,11135.68,57.6,47.5,63.6,45.7,NA,62.5
South Middleton SD,Cumberland,17806.48,11637.69,44.1,46,63.4,30.2,NA,45.8
Central Dauphin SD,Dauphin,16386.87,11255.09,33.8,39.3,61.9,20.6,13.1,47.5
Derry Township SD,Dauphin,20295.68,12679.26,61.3,77.4,89.7,48.2,NA,61.4
Halifax Area SD,Dauphin,20634.72,13419.39,49.1,49.1,62.5,22.2,NA,52.2
Harrisburg City SD,Dauphin,19981.39,13264.16,13.4,14.9,27.4,13.2,10.5,
Lower Dauphin SD,Dauphin,20057.26,12808.93,44.8,65.8,76.4,26.9,NA,45.3
Middletown Area SD,Dauphin,19928.53,12076.6,45.3,39.4,53.5,30.8,7.1,60.2
Millersburg Area SD,Dauphin,19963.47,13372.23,37.3,42.6,74.1,20.8,NA,35.6
Steelton-Highspire SD,Dauphin,NA,NA,6.3,9.8,19,4.4,4.3,
Susquehanna Township SD,Dauphin,16173.07,10499.18,37.9,45.3,53,26.3,20.8,57.1
Upper Dauphin Area SD,Dauphin,21706.29,14358.59,42.3,56.9,59.7,27.3,NA,42.9
Chester-Upland SD,Delaware,22138.74,15885.53,0.6,1.3,10.1,0.6,0.7,
Chichester SD,Delaware,26362.95,18039.57,31.3,28.1,55.9,24.8,8.1,43
Garnet Valley SD,Delaware,23506.47,16421.72,73.2,81.3,91.3,53.2,54.5,70.8
Haverford Township SD,Delaware,20067.57,13138.29,70.5,80,83.8,50.5,37.9,72.3
Interboro SD,Delaware,21822.24,14094.46,31.4,43.3,66.2,22.2,29,33.3
Marple Newtown SD,Delaware,23808.37,14501.58,41.3,66,64.2,41.3,18.2,42.3
Penn-Delco SD,Delaware,19360.71,12021.27,39.1,46.6,66.4,24,19.2,43.7
Radnor Township SD,Delaware,29853.48,18363.63,79.1,81.8,89.3,51.4,30.8,80
Ridley SD,Delaware,22457.68,16366.86,43.7,48.9,61.4,34.4,26.9,44.3
Rose Tree Media SD,Delaware,24220.51,15018.33,64.1,78.6,83.8,41.9,42.1,64.3
Southeast Delco SD,Delaware,21525.45,15187.35,15.7,18.1,39.2,9.9,13.4,35.3
Springfield SD,Delaware,16791.14,11026.54,76,78.1,88.2,55.1,33.3,79.8
Upper Darby SD,Delaware,17585.03,12170.97,20.6,34.9,44.7,18.9,12.2,29.1
Wallingford-Swarthmore SD,Delaware,23794.5,14877.32,69.8,74.8,90,47.3,35.3,72.8
William Penn SD,Delaware,22472.46,15473.28,12,16.5,41.4,8.2,11,14.3
Johnsonburg Area SD,Elk,19837.56,11986.65,34.9,79.1,69.8,20,NA,33.3
Ridgway Area SD,Elk,19008.36,12174.43,45.8,59.3,61,50,NA,44.6
Saint Marys Area SD,Elk,16805.17,10670.64,46.8,57.1,67.7,36.7,NA,46.7
Corry Area SD,Erie,19249.8,12539.02,39.6,44.5,62.2,25.8,NA,39.9
Erie City SD,Erie,17561.91,12179.43,20.2,28.1,34,14.7,8.2,29.4
Fairview SD,Erie,15014.57,9121.34,88.5,78.8,82.8,77.8,NA,88.5
Fort LeBoeuf SD,Erie,17419.87,11302.17,67.8,69.9,81.7,61.4,NA,68.5
General McLane SD,Erie,16615.4,10443.88,49.3,52.2,65.4,39.7,NA,51.2
Girard SD,Erie,19205.03,12664.82,60.6,56,72.7,51.9,NA,62
Harbor Creek SD,Erie,15940.69,10464.82,60.3,67.4,72.3,41.7,NA,63.5
Iroquois SD,Erie,22036.53,14219.36,40.3,64.6,70.5,39,NA,41.3
Millcreek Township SD,Erie,16514.27,10339.07,63.9,63.1,69.7,50.5,31.3,66.7
North East SD,Erie,16452.55,10196.1,60.2,55.3,66.7,57.1,NA,63.1
Northwestern SD,Erie,18841.52,12608.5,25.5,49.5,50,14.3,NA,24.7
Union City Area SD,Erie,19399.53,11837.45,39,42.7,59.8,31.6,NA,38.5
Wattsburg Area SD,Erie,19606.54,11224.71,67.8,57.8,87,59,NA,65.5
Albert Gallatin Area SD,Fayette,19337.22,12664.44,39.8,46,52.4,28.7,NA,39.2
Brownsville Area SD,Fayette,20406.57,13348.41,24.4,34.4,38.5,16.1,NA,25
Connellsville Area SD,Fayette,18509.17,12158.08,47,48,59.8,41.1,NA,47.3
Frazier SD,Fayette,19595.19,13020.42,21.9,39.1,39.1,20,NA,22.4
Laurel Highlands SD,Fayette,20098.01,13512.2,38.2,40.8,56.6,28.1,NA,39.2
Uniontown Area SD,Fayette,21148.46,13825.39,35.2,34.6,45,31.5,11.8,41.9
Forest Area SD,Forest,36591.53,21368.72,10.8,32.4,58.3,5.3,NA,12.5
Chambersburg Area SD,Franklin,16061.79,10987.3,37.2,43.9,52.5,22.7,17,49.7
Fannett-Metal SD,Franklin,20447.44,12691.63,37.5,42.5,57.5,43.8,NA,35.9
Greencastle-Antrim SD,Franklin,15335.77,10487.14,48,56.1,65.1,34.9,NA,51.9
Tuscarora SD,Franklin,18320.63,11347.67,39.9,56.4,56.8,30.1,NA,41.4
Waynesboro Area SD,Franklin,15220.42,10506.87,46.8,52.3,64,42,NA,47.8
Central Fulton SD,Fulton,17728.98,12133.62,57.6,42.4,72.9,40.7,NA,57.9
Forbes Road SD,Fulton,20554.7,12680.55,15,10,31.6,,NA,16.7
Southern Fulton SD,Fulton,NA,NA,55,70.7,68.3,36.4,NA,55.6
Carmichaels Area SD,Greene,20909.42,12945.72,32.4,44.1,39.7,21.9,NA,30.8
Central Greene SD,Greene,22075.04,14371.15,21.8,46.6,47.6,18.4,NA,22
Jefferson-Morgan SD,Greene,20118.11,12906.37,33.3,36.7,40.8,29.2,NA,34
Southeastern Greene SD,Greene,21813.64,12713.87,57.1,51.2,67.4,50,NA,57.1
West Greene SD,Greene,23024.64,13838.59,18.4,24,48,5,NA,18.4
Huntingdon Area SD,Huntingdon,18616.5,12149.74,49.2,46.2,59.2,39.3,NA,49.1
Juniata Valley SD,Huntingdon,19163.57,12105.07,33.3,26.5,49,18.2,NA,34.8
Mount Union Area SD,Huntingdon,19370.9,13674.55,31.3,29.7,34.9,21.2,NA,33.3
Southern Huntingdon County SD,Huntingdon,17817.27,10525,28.6,35.1,36.8,17.2,NA,28
Homer-Center SD,Indiana,21713.04,14035.63,65.3,43.8,61.6,55.6,NA,63.6
Indiana Area SD,Indiana,20227.17,14033.75,59.2,70.9,77.8,44.2,NA,59.3
Marion Center Area SD,Indiana,22620.87,14123.01,46.5,51.7,51.1,27.5,NA,46.4
Penns Manor Area SD,Indiana,25928.8,16189.16,47.3,49.1,61.8,38.5,NA,49.1
Purchase Line SD,Indiana,25184.17,15357.06,50,55.9,72.9,45.7,NA,49.1
River Valley SD,Indiana,NA,NA,47.5,43.3,59.6,39.3,NA,47.2
United SD,Indiana,24277.8,15731.56,56.7,63.6,77.6,37,NA,58.5
Brockway Area SD,Jefferson,19785.38,12258.32,67.9,60.7,71.4,62.5,NA,67.3
Brookville Area SD,Jefferson,17184.74,10693.55,65.4,67.9,76.8,45.8,NA,65.4
Punxsutawney Area SD,Jefferson,19617.37,13018.9,56.8,65.2,61.6,48.3,NA,58.7
Juniata County SD,Juniata,16307.9,10798.97,39.7,50.6,64.9,27.7,NA,40
Abington Heights SD,Lackawanna,15498.47,10314.46,72.4,74,86.1,53.8,NA,72.3
Carbondale Area SD,Lackawanna,17707.85,12120.71,26.9,31.4,58.5,18.5,NA,24.4
Dunmore SD,Lackawanna,17160.28,11783.53,38.3,46.6,67.2,20.8,NA,43.7
Lakeland SD,Lackawanna,18207.8,11762.47,36.6,57.4,70.3,22.2,NA,37.6
Mid Valley SD,Lackawanna,16994.68,11547.63,30.1,62.9,69.7,18.5,NA,35.4
North Pocono SD,Lackawanna,19945.52,12796.56,50,66.9,64.5,24.1,NA,50.7
Old Forge SD,Lackawanna,19079.66,12767.67,31.3,56.7,52.2,17.6,NA,29.6
Riverside SD,Lackawanna,15158.44,9942.99,45.4,51.9,67.3,38.2,NA,53
Scranton SD,Lackawanna,18349.37,12891.83,21.9,30.8,54.8,18.2,12.3,27.4
Valley View SD,Lackawanna,17423.98,11662.77,49.7,67.5,78,26.7,NA,52.5
Cocalico SD,Lancaster,21965.38,14633.75,60.9,59.2,72,42.9,NA,64.5
Columbia Borough SD,Lancaster,20660.11,13006.37,24.7,11.3,16.7,22,NA,27.8
Conestoga Valley SD,Lancaster,20347.87,13431.06,58.6,51.5,71.6,42.1,47.4,73.5
Donegal SD,Lancaster,18416.97,12313.25,42.3,47.4,59.2,30,NA,47.1
Eastern Lancaster County SD,Lancaster,23232.75,13492.91,59.8,60.4,71.4,49.3,NA,62
Elizabethtown Area SD,Lancaster,19843.35,13561.82,56,54.4,68.4,40.2,NA,61
Ephrata Area SD,Lancaster,18881.01,11621.38,71.8,63.2,74.4,56.4,NA,76.3
Hempfield SD,Lancaster,18191.39,12753.77,71.6,73.2,74.3,53.9,63.6,77
Lampeter-Strasburg SD,Lancaster,19169.28,12754.24,66.2,73.1,74.7,58.2,NA,67.8
Lancaster SD,Lancaster,25908.89,16763.83,20.3,27.1,45.9,17.3,16.3,45.1
Manheim Central SD,Lancaster,20392.6,12929.46,50.2,60.2,65.7,30.6,NA,50.9
Manheim Township SD,Lancaster,16514.65,10460.52,53,64.9,74.1,35.4,33.3,60.3
Penn Manor SD,Lancaster,16487.61,11167.15,65.3,63.7,68.1,52.7,27.6,74.3
Pequea Valley SD,Lancaster,26923.73,16251.05,56.7,58.8,56.3,45.8,NA,64.5
Solanco SD,Lancaster,20010.06,12379.53,36.8,51.7,50.2,25.5,NA,37.8
Warwick SD,Lancaster,18884.27,12969.52,64.4,74.5,74.9,48.8,NA,67.1
Ellwood City Area SD,Lawrence,19198.62,12907.4,24.2,28.6,51.1,2.8,NA,29.3
Laurel SD,Lawrence,18575.11,11404.12,49.2,68.6,72.5,30.8,NA,49.2
Mohawk Area SD,Lawrence,16568.93,11290.98,64,51.7,68.9,55.3,NA,62.2
Neshannock Township SD,Lawrence,16538.8,10393.78,76.1,70.3,90.5,61.1,NA,75.8
